Iceberg,Length_(NM),Width_(NM),Latitude,Longitude,Remarks,Last_Update,Source_File,wind_u,wind_v,temperature,pressure,humidity
C35,7.0,5.0,-67.52,148.0,wilke,2021-05-07,AntarcticIcebergs_20210507.csv,2.8832178115844727,7.4970479011535645,244.8358917236328,99162.28125,0.00037486074143089354
D20A,20.0,9.0,-68.82,36.27,amerw,2019-09-27,AntarcticIcebergs_20190927.csv,-4.174745559692383,2.5152857303619385,250.27053833007812,97941.9609375,0.0004947431152686477
A68H,11.0,5.0,-56.21,-35.54,belle,2021-01-29,AntarcticIcebergs_20210129.csv,1.3709852695465088,-5.265247344970703,275.40411376953125,100236.8046875,0.004349184222519398
D28,29.0,19.0,-74.12,-41.05,belle,2022-06-24,AntarcticIcebergs_20220624.csv,-0.9662702083587646,5.351363182067871,255.489990234375,99358.2265625,0.000835537794046104
A23A,40.0,34.0,-75.18,-37.25,belle,2022-04-01,AntarcticIcebergs_20220401.csv,-4.068831443786621,5.07496976852417,266.1900634765625,98276.9375,0.0021294746547937393
B28,9.0,6.0,-74.37,-109.41,amune,2022-04-22,AntarcticIcebergs_20220422.csv,-3.819023609161377,7.796689033508301,255.1228485107422,96679.8203125,0.0007634800858795643
B45,7.0,6.0,-74.51,-109.6,amune,2022-05-06,AntarcticIcebergs_20220506.csv,-7.174847602844238,7.401468276977539,249.005859375,97840.4453125,0.0004079514474142343
A78,18.0,4.0,-73.29,-21.63,weddw,2022-02-18,AntarcticIcebergs_20220218.csv,-0.10620372742414474,2.995842933654785,267.9950866699219,98118.21875,0.0022215815261006355
A23A,40.0,34.0,-75.7,-39.86,belle,2021-02-12,AntarcticIcebergs_20210212.csv,-1.2643513679504395,1.4381036758422852,265.875,98471.3828125,0.0018584249773994088
C15,12.0,8.0,-65.96,143.27,wilke,2021-11-12,AntarcticIcebergs_20211112.csv,-0.6039650440216064,3.7332191467285156,263.63909912109375,97763.3046875,0.0011970537016168237
A73,9.0,5.0,-69.59,-60.31,belle,2021-02-19,AntarcticIcebergs_20210219.csv,-6.006671905517578,2.820640802383423,272.2504577636719,98110.6796875,0.0035213306546211243
B50,15.0,6.0,-73.67,-138.19,amunw,2021-01-22,AntarcticIcebergs_20210122.csv,4.458377838134766,4.029304504394531,272.54840087890625,98335.5859375,0.0029705048073083162
A63,11.0,3.0,-64.35,-55.5,belle,2021-08-13,AntarcticIcebergs_20210813.csv,3.2212233543395996,6.126785755157471,257.0000915527344,96891.578125,0.0009352477500215173
A78,18.0,4.0,-70.7,-10.46,weddw,2021-12-31,AntarcticIcebergs_20211231.csv,-1.9996719360351562,2.302072048187256,270.50604248046875,98603.96875,0.0025594851467758417
A78,18.0,4.0,-71.45,-41.46,belle,2022-07-15,AntarcticIcebergs_20220715.csv,4.3676910400390625,-0.12753701210021973,255.00384521484375,99310.1328125,0.000788786041084677
B09I,12.0,6.0,-70.72,-40.74,belle,2021-01-22,AntarcticIcebergs_20210122.csv,-6.928340911865234,-5.867179870605469,271.49761962890625,98167.5859375,0.0032117844093590975
D30A,37.0,11.0,-73.52,-41.34,belle,2022-05-20,AntarcticIcebergs_20220520.csv,6.1231794357299805,10.734235763549805,250.97445678710938,99286.5390625,0.0005051762564107776
A79,9.5,3.0,-71.08,-60.46,belle,2022-03-11,AntarcticIcebergs_20220311.csv,0.09920722246170044,-1.1368281841278076,269.33441162109375,98570.9765625,0.0019397857831791043
